epoch,train_loss,val_loss,proto_dist
0,-21.25981450382667,-23.606914243032765,0.02955019474029541
1,-23.667649232888525,-23.49002760510112,0.08242785930633545
2,-23.47005762027789,-23.144243007482483,0.2183334231376648
3,-22.722412616391725,-22.29646555213041,0.5352314114570618
4,-21.00061561487898,-20.504257379576217,1.0990521907806396
5,-18.9129645432098,-17.57362183859182,1.2653528451919556
6,-15.442007946062692,-13.967994013497997,0.6876523494720459
7,-13.789251194724553,-14.729228840317838,0.14158844947814941
8,-14.350531578063965,-14.094303596851438,0.03534960746765137
9,-14.25037892257111,-14.390755475953569,0.05007779598236084
10,-14.291383731214307,-14.193956596906794,0.013309240341186523
